symbol,ema_window,sma_window,total_return,max_drawdown,signal_count,final_equity,rank
GOOG,30,50,90.69844862063165,-0.07843757115498541,1,1.9069844862063166,1
GOOG,20,50,90.69844862063165,-0.07843757115498541,1,1.9069844862063166,1
GOOG,20,30,81.67523070525485,-0.0797950737010942,4,1.8167523070525484,2
GOOG,50,50,67.44544452747728,-0.07979507370109416,4,1.6744544452747727,3
NVDA,20,30,53.7328277416917,-0.12403402185326948,7,1.537328277416917,4
NVDA,50,50,52.16204343866426,-0.12403402185326975,4,1.5216204343866426,5
GOOG,20,20,51.09354913896564,-0.1695400377658714,13,1.5109354913896564,6
NVDA,20,50,48.708207238472,-0.14113217265662487,4,1.48708207238472,7
NVDA,30,50,44.35195675682666,-0.14113217265662498,4,1.4435195675682666,8
GOOG,30,30,39.24869801250741,-0.14497358391192205,10,1.392486980125074,9
AAPL,50,50,32.57759627714603,-0.08293796360241096,4,1.3257759627714603,10
NVDA,30,30,28.022822815044602,-0.18979935404787449,15,1.280228228150446,11
MSFT,20,30,27.547882141158688,-0.07099205270870987,5,1.2754788214115869,12
AAPL,20,50,26.877638826818885,-0.06733168763613406,3,1.2687763882681888,13
MSFT,20,50,26.801794301942916,-0.08779372589135606,4,1.2680179430194292,14
MSFT,50,50,23.80294107960048,-0.08347632997642507,4,1.2380294107960048,15
MSFT,30,30,23.63649038953635,-0.09439214253432758,9,1.2363649038953635,16
AAPL,30,50,23.609119345912877,-0.09078654201708113,3,1.2360911934591288,17
NVDA,20,20,21.54888767799925,-0.2498511252467816,15,1.2154888767799925,18
META,50,50,21.08930494523975,-0.049696006002640014,3,1.2108930494523975,19
MSFT,30,20,19.90557695817683,-0.13142749249730767,5,1.1990557695817683,20
NVDA,30,20,18.56352190303565,-0.35830939299629533,7,1.1856352190303565,21
MSFT,30,50,16.286678348496707,-0.1039814220091853,4,1.162866783484967,22
META,30,50,16.282793807974084,-0.06977759064437764,3,1.1628279380797408,23
META,20,50,16.282793807974084,-0.06977759064437764,3,1.1628279380797408,23
AAPL,20,30,16.09471001961682,-0.08341427776331667,7,1.1609471001961682,24
MSFT,50,30,13.98867768145835,-0.10665428332538218,3,1.1398867768145835,25
META,30,30,12.617563422690804,-0.16092513761770438,10,1.126175634226908,26
MSFT,50,20,8.72213976674412,-0.14795859498688624,3,1.0872213976674412,27
MSFT,20,20,7.451302852315633,-0.12885868867549546,20,1.0745130285231563,28
META,20,30,5.916752848034212,-0.17252403641208944,10,1.0591675284803421,29
GOOG,50,30,3.801393484867055,-0.15168708739409303,2,1.0380139348486705,30
META,50,30,2.6208650282381507,-0.22070502830368363,3,1.0262086502823815,31
NVDA,50,30,2.0959205126100278,-0.015693072200688846,2,1.0209592051261003,32
AAPL,30,30,1.4189544362309015,-0.08341427776331657,13,1.014189544362309,33
NVDA,50,20,1.0724808223563587,-0.07873891596088445,2,1.0107248082235636,34
META,50,20,-0.42462417905854144,-0.2261659842517834,3,0.9957537582094146,35
AAPL,20,20,-1.2173189596576761,-0.2225897990466411,15,0.9878268104034232,36
AAPL,50,20,-1.6656092746385909,-0.22988969037873053,3,0.9833439072536141,37
META,30,20,-1.7786154262053322,-0.2261659842517834,6,0.9822138457379467,38
AAPL,30,20,-3.5179602456293924,-0.2298896903787305,5,0.9648203975437061,39
AAPL,50,30,-3.9356823120938023,-0.22988969037873044,3,0.960643176879062,40
GOOG,30,20,-5.344411836711805,-0.16502429284310874,4,0.946555881632882,41
GOOG,50,20,-6.4059941506729885,-0.1900933913136077,2,0.9359400584932701,42
META,20,20,-7.170789264301158,-0.1941211211890946,15,0.9282921073569884,43
